,Affiliate,Age,Height,Weight,Sprint 400m,Clean & Jerk,Snatch,Deadlift,Back Squat,Max Pull-ups
Stanley White II,Outsiders CrossFit,33.0,73.0,235.0,0:00,345.0,255.0,535.0,475.0,0.0
Jess Williard,Unaffiliated,25.0,71.0,180.0,--,0.0,0.0,0.0,0.0,0.0
Patrick Bishop,CrossFit Southie,30.0,66.0,157.0,0:00,0.0,0.0,0.0,0.0,0.0
Jason Leydon,CrossFit Milford,37.0,73.0,210.0,0:53,255.0,195.0,480.0,355.0,53.0
Sean Campbell,CrossFit Explode,24.0,0.0,180.0,--,0.0,0.0,0.0,0.0,0.0
Tony Silva,Koda CrossFit Norman,24.0,0.0,185.0,--,280.0,230.0,440.0,385.0,35.0
Jameson Cubriel,LoneStar CrossFit,26.0,69.0,172.0,51:00,312.0,240.0,500.0,425.0,0.0
Mike Kern,CrossFit Garden City,40.0,71.0,187.0,--,290.0,235.0,488.0,385.0,0.0
Michael Brower Jr,CrossFit Westchase,26.0,73.0,205.0,1:00,295.0,225.0,465.0,395.0,56.0
Jordon Werner,CrossFit Cameron Park,22.0,67.0,154.0,--,270.0,215.0,375.0,315.0,0.0
Stacey Adams,CrossFit Adrenaline,41.0,69.0,170.0,0:00,285.0,226.0,455.0,345.0,0.0
Travis Durant,CrossFit Boom,30.0,71.0,200.0,0:00,315.0,275.0,515.0,405.0,40.0
Christophe Besnard,Reebok CrossFit Louvre,35.0,6.0,171.0,0:00,0.0,0.0,0.0,0.0,0.0
Tyler Lloyd,CrossFit Des Moines,25.0,66.0,195.0,1:17,335.0,280.0,445.0,435.0,0.0
Cale Marker,Mad River CrossFit,25.0,72.0,184.0,--,280.0,241.0,465.0,325.0,56.0
Mark McSharry,CrossFit Rife,27.0,69.0,188.0,1:04,315.0,225.0,495.0,425.0,0.0
Jason Calle,CrossFit EST,28.0,69.0,180.0,--,0.0,0.0,0.0,0.0,0.0
Josue Burgos,CrossFit Muscle Farm,35.0,70.0,198.0,--,310.0,235.0,535.0,460.0,0.0
Brandon Garner,CrossFit Invoke,35.0,66.0,158.0,--,280.0,225.0,465.0,375.0,55.0
Chad Noble,CrossFit Loaded,30.0,6.0,169.0,--,268.0,209.0,440.0,341.0,51.0
Dave Yanakis,CrossFit AF Joliette,24.0,67.0,175.0,--,295.0,225.0,0.0,0.0,0.0
Ryan Lane,5 Valleys CrossFit,29.0,68.0,175.0,--,245.0,205.0,410.0,320.0,0.0
Kyle Montgomery,CrossFit Reignited ILM,22.0,74.0,205.0,--,330.0,252.0,485.0,405.0,0.0
Przemyslaw Strumian,Reebok CrossFit Mokotow,27.0,6.0,198.0,--,330.0,242.0,529.0,407.0,40.0
Ryan Queale,Wayfarer CrossFit,22.0,75.0,199.0,--,315.0,265.0,455.0,405.0,47.0
Ethan Brown,CrossFit Ilium,24.0,65.0,165.0,--,305.0,260.0,500.0,435.0,50.0
Steven Villucci,Ocean State CrossFit,27.0,67.0,170.0,--,275.0,225.0,525.0,360.0,50.0
Ghyslain Gallant,CrossFit de l'est,31.0,6.0,180.0,--,270.0,200.0,465.0,365.0,0.0
Zane Thomson,Functional Strength CrossFit,25.0,6.0,165.0,0:00,264.0,187.0,440.0,341.0,40.0
Jeff Tardiff,Unaffiliated,28.0,0.0,198.0,--,0.0,0.0,0.0,0.0,0.0
Brian Pachtman,Ruya CrossFit,35.0,71.0,187.0,0:00,0.0,0.0,0.0,0.0,0.0
Jonathan Morgan,Hines Park CrossFit,31.0,0.0,208.0,--,0.0,0.0,0.0,0.0,0.0
Vaughn Franklin,CrossFit 460,25.0,71.0,172.0,--,0.0,0.0,0.0,0.0,0.0
Jordan Tolbert,CrossFit Total Control,23.0,67.0,158.0,--,275.0,225.0,435.0,375.0,60.0
Aj Lizotte,CrossFit Mystic,26.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Michael Needleman,Stroud CrossFit,20.0,69.0,178.0,0:58,285.0,240.0,465.0,370.0,50.0
Tyler Klipa,CrossFit Swerve,24.0,70.0,190.0,--,275.0,215.0,0.0,365.0,0.0
Nate Yoho,CrossFit Merle Hay,33.0,70.0,199.0,--,310.0,245.0,565.0,405.0,0.0
Ryan Wells,CrossFit Coventry,31.0,73.0,202.0,--,319.0,264.0,529.0,440.0,0.0
Matt Elliott,Get Lifted CrossFit,27.0,70.0,175.0,--,275.0,230.0,435.0,405.0,51.0
Domenico Agresta,CrossFit Black Fox,30.0,6.0,0.0,--,231.0,176.0,440.0,374.0,52.0
Jeffrey Raimo,CrossFit AR Strength,29.0,74.0,200.0,--,305.0,235.0,535.0,0.0,0.0
Anthony Morisi,CrossFit Baltimore,34.0,68.0,165.0,--,245.0,190.0,365.0,325.0,0.0
Justin Policarpio,CrossFit Brickyard,26.0,0.0,185.0,--,0.0,0.0,0.0,0.0,0.0
espen Hellesøy,CrossFit Asane,21.0,7.0,215.0,0:00,297.0,253.0,462.0,418.0,47.0
Roberto Ligato,CrossFit Lucca,41.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Alex Lutfi,CrossFit Jetty,22.0,68.0,175.0,--,0.0,0.0,0.0,0.0,0.0
Riccardo Mosciatti,CrossFit Very Well,27.0,0.0,220.0,--,0.0,0.0,0.0,0.0,0.0
Kyle Cameron,CrossFit Hardcore East,29.0,72.0,190.0,0:58,275.0,215.0,405.0,315.0,47.0
Søren Rebsdorf,CrossFit Hellerup,22.0,7.0,180.0,--,0.0,0.0,0.0,0.0,0.0
James Cooper,CrossFit Linne,33.0,6.0,187.0,--,227.0,176.0,374.0,297.0,0.0
Bo Wren,Unaffiliated,28.0,72.0,225.0,0:00,305.0,225.0,505.0,445.0,18.0
Thierry Floriant,CrossFit Aix en Provence,29.0,6.0,180.0,0:00,264.0,220.0,407.0,352.0,40.0
Sam Turner,Unaffiliated,24.0,6.0,165.0,--,264.0,209.0,451.0,363.0,0.0
Christian Roness,CrossFit Oslo,32.0,7.0,216.0,--,0.0,0.0,0.0,0.0,0.0
Matthew Szwinto,Crossfit Kvadraturen,30.0,6.0,165.0,1:04,242.0,187.0,418.0,135.0,0.0
Conner Salisbury,CrossFit RTR,20.0,66.0,160.0,--,0.0,0.0,0.0,0.0,0.0
Dennis Sama,CrossFit 00144,29.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Cory Johnson,CrossFit Ex Nihilo,29.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,0.0
